66646 GFF lines processed.
100000 alignment record pairs processed.
100000 alignment record pairs processed.
200000 alignment record pairs processed.
200000 alignment record pairs processed.
300000 alignment record pairs processed.
300000 alignment record pairs processed.
400000 alignment record pairs processed.
400000 alignment record pairs processed.
500000 alignment record pairs processed.
500000 alignment record pairs processed.
600000 alignment record pairs processed.
600000 alignment record pairs processed.
700000 alignment record pairs processed.
700000 alignment record pairs processed.
800000 alignment record pairs processed.
800000 alignment record pairs processed.
900000 alignment record pairs processed.
900000 alignment record pairs processed.
1000000 alignment record pairs processed.
1000000 alignment record pairs processed.
1100000 alignment record pairs processed.
1100000 alignment record pairs processed.
1200000 alignment record pairs processed.
1200000 alignment record pairs processed.
1300000 alignment record pairs processed.
1353838 alignment record pairs processed.
100000 alignment record pairs processed.
200000 alignment record pairs processed.
300000 alignment record pairs processed.
1300000 alignment record pairs processed.
1400000 alignment record pairs processed.
400000 alignment record pairs processed.
1500000 alignment record pairs processed.
500000 alignment record pairs processed.
1600000 alignment record pairs processed.
600000 alignment record pairs processed.
1700000 alignment record pairs processed.
1800000 alignment record pairs processed.
700000 alignment record pairs processed.
1900000 alignment record pairs processed.
800000 alignment record pairs processed.
2000000 alignment record pairs processed.
2100000 alignment record pairs processed.
900000 alignment record pairs processed.
2200000 alignment record pairs processed.
2300000 alignment record pairs processed.
1000000 alignment record pairs processed.
2400000 alignment record pairs processed.
1100000 alignment record pairs processed.
2500000 alignment record pairs processed.
1200000 alignment record pairs processed.
2600000 alignment record pairs processed.
2700000 alignment record pairs processed.
2767657 alignment record pairs processed.
100000 alignment record pairs processed.
200000 alignment record pairs processed.
1300000 alignment record pairs processed.
300000 alignment record pairs processed.
1400000 alignment record pairs processed.
1500000 alignment record pairs processed.
400000 alignment record pairs processed.
1600000 alignment record pairs processed.
500000 alignment record pairs processed.
1700000 alignment record pairs processed.
600000 alignment record pairs processed.
1800000 alignment record pairs processed.
1900000 alignment record pairs processed.
700000 alignment record pairs processed.
2000000 alignment record pairs processed.
800000 alignment record pairs processed.
2100000 alignment record pairs processed.
2200000 alignment record pairs processed.
900000 alignment record pairs processed.
2300000 alignment record pairs processed.
2400000 alignment record pairs processed.
1000000 alignment record pairs processed.
2500000 alignment record pairs processed.
1100000 alignment record pairs processed.
2600000 alignment record pairs processed.
1200000 alignment record pairs processed.
2700000 alignment record pairs processed.
1300000 alignment record pairs processed.
2800000 alignment record pairs processed.
1400000 alignment record pairs processed.
2900000 alignment record pairs processed.
2912165 alignment record pairs processed.
1500000 alignment record pairs processed.
100000 alignment record pairs processed.
1600000 alignment record pairs processed.
200000 alignment record pairs processed.
1700000 alignment record pairs processed.
300000 alignment record pairs processed.
1800000 alignment record pairs processed.
400000 alignment record pairs processed.
1900000 alignment record pairs processed.
500000 alignment record pairs processed.
2000000 alignment record pairs processed.
600000 alignment record pairs processed.
2100000 alignment record pairs processed.
700000 alignment record pairs processed.
2200000 alignment record pairs processed.
2209112 alignment record pairs processed.
800000 alignment record pairs processed.
100000 alignment record pairs processed.
900000 alignment record pairs processed.
200000 alignment record pairs processed.
1000000 alignment record pairs processed.
300000 alignment record pairs processed.
1100000 alignment record pairs processed.
400000 alignment record pairs processed.
1200000 alignment record pairs processed.
500000 alignment record pairs processed.
1300000 alignment record pairs processed.
600000 alignment record pairs processed.
1400000 alignment record pairs processed.
1436491 alignment record pairs processed.
700000 alignment record pairs processed.
100000 alignment record pairs processed.
800000 alignment record pairs processed.
200000 alignment record pairs processed.
900000 alignment record pairs processed.
300000 alignment record pairs processed.
1000000 alignment record pairs processed.
400000 alignment record pairs processed.
1100000 alignment record pairs processed.
500000 alignment record pairs processed.
1200000 alignment record pairs processed.
600000 alignment record pairs processed.
1300000 alignment record pairs processed.
700000 alignment record pairs processed.
1400000 alignment record pairs processed.
800000 alignment record pairs processed.
1500000 alignment record pairs processed.
1546301 alignment record pairs processed.
900000 alignment record pairs processed.
1000000 alignment record pairs processed.
100000 alignment record pairs processed.
1100000 alignment record pairs processed.
200000 alignment record pairs processed.
1200000 alignment record pairs processed.
300000 alignment record pairs processed.
1300000 alignment record pairs processed.
400000 alignment record pairs processed.
1400000 alignment record pairs processed.
500000 alignment record pairs processed.
1500000 alignment record pairs processed.
600000 alignment record pairs processed.
1600000 alignment record pairs processed.
700000 alignment record pairs processed.
1700000 alignment record pairs processed.
1751652 alignment record pairs processed.
800000 alignment record pairs processed.
900000 alignment record pairs processed.
1000000 alignment record pairs processed.
1100000 alignment record pairs processed.
1200000 alignment record pairs processed.
1300000 alignment record pairs processed.
1400000 alignment record pairs processed.
1500000 alignment record pairs processed.
1559533 alignment record pairs processed.
file_1_file_1_g1.t1.exon1	0	0	1	0	0	0	0	0
file_1_file_1_g1.t1.exon2	7	1	0	0	0	0	0	0
file_1_file_1_g1.t1.exon3	2	0	3	0	0	0	0	0
file_1_file_1_g1.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1.t1.exon5	8	0	4	0	0	0	0	0
file_1_file_1_g10.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g10.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g10.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g10.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g100.t1.exon1	0	0	1	0	0	0	0	0
file_1_file_1_g100.t1.exon2	0	3	0	2	0	0	0	0
file_1_file_1_g100.t1.exon3	4	0	0	0	0	0	0	0
file_1_file_1_g100.t1.exon4	2	0	0	0	0	0	0	0
file_1_file_1_g100.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1000.t2.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1001.t1.exon1	5	1	0	0	0	0	0	0
file_1_file_1_g1001.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon1	2	0	0	1	0	0	0	0
file_1_file_1_g1002.t1.exon2	1	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon3	1	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon4	2	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1002.t1.exon8	0	0	1	0	0	0	0	0
file_1_file_1_g1002.t1.exon9	1	1	0	1	0	0	0	0
file_1_file_1_g1003.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1003.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1004.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1005.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1005.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1005.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1005.t1.exon4	0	0	0	0	0	0	0	1
file_1_file_1_g1005.t1.exon5	1	0	0	0	0	0	0	0
file_1_file_1_g1006.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1006.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1006.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1006.t1.exon4	0	0	1	0	0	0	0	0
file_1_file_1_g1006.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1006.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon10	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1007.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1008.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1009.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1009.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1009.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1009.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g101.t1.exon1	2	18	1	25	1	0	0	0
file_1_file_1_g1010.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon6	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon7	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon8	0	0	0	0	0	0	0	0
file_1_file_1_g1010.t1.exon9	0	0	0	0	0	0	0	0
file_1_file_1_g1011.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1011.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1011.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1012.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1013.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1013.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1013.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1013.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1014.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1014.t1.exon2	0	0	0	0	0	0	0	0
file_1_file_1_g1014.t1.exon3	0	0	0	0	0	0	0	0
file_1_file_1_g1014.t1.exon4	0	0	0	0	0	0	0	0
file_1_file_1_g1014.t1.exon5	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon1	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon10	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon11	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon12	0	0	0	0	0	0	0	0
file_1_file_1_g1015.t1.exon13	4	0	1	2	0	1	0	0
